image_id,sample_id,image_number,cell_label,centroid_row,centroid_column,radial_bin,radius_start,radius_end,section_size_pixels,aggregate_pixels,aggregate_present,aggregate_fraction,aggregate_share,intensity_sum,intensity_mean,intensity_share,cumulative_normalized_intensity
E3_088plate1.tif,E3,3,13,1818.0946196660482,1477.721706864564,7,0.7,0.8,357,43,True,0.12044817927170869,0.2028301886792453,76774.0,1785.4418604651162,0.18294856641756901,0.2162121587616288
E3_088plate1.tif,E3,3,13,1818.0946196660482,1477.721706864564,8,0.8,0.9,444,98,True,0.22072072072072071,0.46226415094339623,225908.0,2305.183673469388,0.5383273600732043,0.7545395188348331
E3_088plate1.tif,E3,3,13,1818.0946196660482,1477.721706864564,9,0.9,1.0,628,55,True,0.0875796178343949,0.25943396226415094,103007.0,1872.8545454545454,0.245460481165167,1.0
E3_088plate1.tif,E3,3,14,1843.4242424242425,1438.878787878788,0,0.0,0.1,1,0,False,0.0,0.0,0.0,0.0,0.0,0.0
E3_088plate1.tif,E3,3,14,1843.4242424242425,1438.878787878788,1,0.1,0.2,3,0,False,0.0,0.0,0.0,0.0,0.0,0.0
E3_088plate1.tif,E3,3,14,1843.4242424242425,1438.878787878788,2,0.2,0.3,6,0,False,0.0,0.0,0.0,0.0,0.0,0.0
E3_088plate1.tif,E3,3,14,1843.4242424242425,1438.878787878788,3,0.3,0.4,11,0,False,0.0,0.0,0.0,0.0,0.0,0.0
E3_088plate1.tif,E3,3,14,1843.4242424242425,1438.878787878788,4,0.4,0.5,15,0,False,0.0,0.0,0.0,0.0,0.0,0.0
E3_088plate1.tif,E3,3,14,1843.4242424242425,1438.878787878788,5,0.5,0.6,24,0,False,0.0,0.0,0.0,0.0,0.0,0.0
E3_088plate1.tif,E3,3,14,1843.4242424242425,1438.878787878788,6,0.6,0.7,80,19,True,0.2375,0.08878504672897196,29768.0,1566.7368421052631,0.062355203458778284,0.062355203458778284
E3_088plate1.tif,E3,3,14,1843.4242424242425,1438.878787878788,7,0.7,0.8,346,125,True,0.36127167630057805,0.5841121495327103,347494.0,2779.952,0.7278977113243987,0.790252914783177
E3_088plate1.tif,E3,3,14,1843.4242424242425,1438.878787878788,8,0.8,0.9,451,60,True,0.13303769401330376,0.2803738317757009,87645.0,1460.75,0.18359049338701366,0.9738434081701908
E3_088plate1.tif,E3,3,14,1843.4242424242425,1438.878787878788,9,0.9,1.0,1189,10,True,0.008410428931875526,0.04672897196261682,12487.0,1248.7,0.02615659182980934,1.0
E3_088plate1.tif,E3,3,15,1842.9017857142858,1808.455357142857,0,0.0,0.1,3,0,False,0.0,0.0,0.0,0.0,0.0,0.0
E3_088plate1.tif,E3,3,15,1842.9017857142858,1808.455357142857,1,0.1,0.2,18,0,False,0.0,0.0,0.0,0.0,0.0,0.0
E3_088plate1.tif,E3,3,15,1842.9017857142858,1808.455357142857,2,0.2,0.3,37,0,False,0.0,0.0,0.0,0.0,0.0,0.0
E3_088plate1.tif,E3,3,15,1842.9017857142858,1808.455357142857,3,0.3,0.4,55,25,True,0.45454545454545453,0.06009615384615385,85004.0,3400.16,0.07513142962195643,0.07513142962195643
E3_088plate1.tif,E3,3,15,1842.9017857142858,1808.455357142857,4,0.4,0.5,74,60,True,0.8108108108108109,0.14423076923076922,177940.0,2965.6666666666665,0.1572736175583611,0.23240504718031754
E3_088plate1.tif,E3,3,15,1842.9017857142858,1808.455357142857,5,0.5,0.6,102,86,True,0.8431372549019608,0.20673076923076922,263490.0,3063.8372093023254,0.23288763341830152,0.46529268059861906
E3_088plate1.tif,E3,3,15,1842.9017857142858,1808.455357142857,6,0.6,0.7,125,94,True,0.752,0.22596153846153846,306793.0,3263.755319148936,0.2711613181498386,0.7364539987484577
E3_088plate1.tif,E3,3,15,1842.9017857142858,1808.455357142857,7,0.7,0.8,155,101,True,0.6516129032258065,0.24278846153846154,239106.0,2367.3861386138615,0.21133565021866638,0.9477896489671241
E3_088plate1.tif,E3,3,15,1842.9017857142858,1808.455357142857,8,0.8,0.9,190,50,True,0.2631578947368421,0.1201923076923077,59071.0,1181.42,0.05221035103287597,1.0
E3_088plate1.tif,E3,3,15,1842.9017857142858,1808.455357142857,9,0.9,1.0,259,0,False,0.0,0.0,0.0,0.0,0.0,1.0
E3_089plate1.tif,E3,4,0,1323.7761904761905,1261.5857142857142,0,0.0,0.1,5,0,False,0.0,0.0,0.0,0.0,0.0,0.0
E3_089plate1.tif,E3,4,0,1323.7761904761905,1261.5857142857142,1,0.1,0.2,18,0,False,0.0,0.0,0.0,0.0,0.0,0.0
E3_089plate1.tif,E3,4,0,1323.7761904761905,1261.5857142857142,2,0.2,0.3,38,0,False,0.0,0.0,0.0,0.0,0.0,0.0
E3_089plate1.tif,E3,4,0,1323.7761904761905,1261.5857142857142,3,0.3,0.4,56,3,True,0.05357142857142857,0.012,4197.0,1399.0,0.00947645787751729,0.00947645787751729
E3_089plate1.tif,E3,4,0,1323.7761904761905,1261.5857142857142,4,0.4,0.5,78,25,True,0.32051282051282054,0.1,39751.0,1590.04,0.08975427140557297,0.09923072928309026
E3_089plate1.tif,E3,4,0,1323.7761904761905,1261.5857142857142,5,0.5,0.6,102,36,True,0.35294117647058826,0.144,68477.0,1902.138888888889,0.1546150598233861,0.25384578910647637
E3_089plate1.tif,E3,4,0,1323.7761904761905,1261.5857142857142,6,0.6,0.7,120,51,True,0.425,0.204,106112.0,2080.627450980392,0.2395915888251405,0.4934373779316169
E3_089plate1.tif,E3,4,0,1323.7761904761905,1261.5857142857142,7,0.7,0.8,146,61,True,0.4178082191780822,0.244,120641.0,1977.72131147541,0.2723967964740442,0.7658341744056611
E3_089plate1.tif,E3,4,0,1323.7761904761905,1261.5857142857142,8,0.8,0.9,166,61,True,0.3674698795180723,0.244,90614.0,1485.4754098360656,0.20459846416806093,0.9704326385737221
E3_089plate1.tif,E3,4,0,1323.7761904761905,1261.5857142857142,9,0.9,1.0,247,13,True,0.05263157894736842,0.052,13095.0,1007.3076923076923,0.029567361426278034,1.0000000000000002
E3_089plate1.tif,E3,4,1,1346.5240963855422,1282.2289156626507,0,0.0,0.1,4,0,False,0.0,0.0,0.0,0.0,0.0,0.0
E3_089plate1.tif,E3,4,1,1346.5240963855422,1282.2289156626507,1,0.1,0.2,12,0,False,0.0,0.0,0.0,0.0,0.0,0.0
E3_089plate1.tif,E3,4,1,1346.5240963855422,1282.2289156626507,2,0.2,0.3,32,0,False,0.0,0.0,0.0,0.0,0.0,0.0
E3_089plate1.tif,E3,4,1,1346.5240963855422,1282.2289156626507,3,0.3,0.4,73,0,False,0.0,0.0,0.0,0.0,0.0,0.0
E3_089plate1.tif,E3,4,1,1346.5240963855422,1282.2289156626507,4,0.4,0.5,118,0,False,0.0,0.0,0.0,0.0,0.0,0.0
E3_089plate1.tif,E3,4,1,1346.5240963855422,1282.2289156626507,5,0.5,0.6,155,0,False,0.0,0.0,0.0,0.0,0.0,0.0
E3_089plate1.tif,E3,4,1,1346.5240963855422,1282.2289156626507,6,0.6,0.7,217,0,False,0.0,0.0,0.0,0.0,0.0,0.0
E3_089plate1.tif,E3,4,1,1346.5240963855422,1282.2289156626507,7,0.7,0.8,252,0,False,0.0,0.0,0.0,0.0,0.0,0.0
E3_089plate1.tif,E3,4,1,1346.5240963855422,1282.2289156626507,8,0.8,0.9,294,0,False,0.0,0.0,0.0,0.0,0.0,0.0
E3_089plate1.tif,E3,4,1,1346.5240963855422,1282.2289156626507,9,0.9,1.0,405,0,False,0.0,0.0,0.0,0.0,0.0,0.0
E3_089plate1.tif,E3,4,2,1418.3177570093458,1290.803738317757,0,0.0,0.1,1,0,False,0.0,0.0,0.0,0.0,0.0,0.0
E3_089plate1.tif,E3,4,2,1418.3177570093458,1290.803738317757,1,0.1,0.2,5,0,False,0.0,0.0,0.0,0.0,0.0,0.0
E3_089plate1.tif,E3,4,2,1418.3177570093458,1290.803738317757,2,0.2,0.3,13,0,False,0.0,0.0,0.0,0.0,0.0,0.0
E3_089plate1.tif,E3,4,2,1418.3177570093458,1290.803738317757,3,0.3,0.4,39,13,True,0.3333333333333333,0.07692307692307693,15842.0,1218.6153846153845,0.061361241943480416,0.061361241943480416
E3_089plate1.tif,E3,4,2,1418.3177570093458,1290.803738317757,4,0.4,0.5,58,23,True,0.39655172413793105,0.13609467455621302,30244.0,1314.9565217391305,0.11714489340604858,0.178506135349529
E3_089plate1.tif,E3,4,2,1418.3177570093458,1290.803738317757,5,0.5,0.6,88,45,True,0.5113636363636364,0.26627218934911245,87573.0,1946.0666666666666,0.3391988411006445,0.5177049764501735
E3_089plate1.tif,E3,4,2,1418.3177570093458,1290.803738317757,6,0.6,0.7,105,38,True,0.3619047619047619,0.22485207100591717,69741.0,1835.2894736842106,0.27012967897868123,0.7878346554288548
E3_089plate1.tif,E3,4,2,1418.3177570093458,1290.803738317757,7,0.7,0.8,140,32,True,0.22857142857142856,0.1893491124260355,38916.0,1216.125,0.15073438274665343,0.9385690381755082
E3_089plate1.tif,E3,4,2,1418.3177570093458,1290.803738317757,8,0.8,0.9,164,4,True,0.024390243902439025,0.023668639053254437,3380.0,845.0,0.013091844323252355,0.9516608824987606
E3_089plate1.tif,E3,4,2,1418.3177570093458,1290.803738317757,9,0.9,1.0,241,14,True,0.058091286307053944,0.08284023668639054,12480.0,891.4285714285714,0.04833911750123947,1.0
